dist,type,name,location,lng,lat,org,seat,a,b,c,d,dis,par
士林區,機關,蘭雅派出所,臺北市士林區中山北路六段153號1樓,121.524711,25.106504,臺北市政府警察局 蘭雅派出所,1,0,1,0,0,0,0
士林區,機關,臺北市職能發展學院,臺北市士林區士東路301號,121.537773,25.113740,臺北市職能發展學院,31,31,0,0,0,0,0
士林區,機關,士林區公民會館,臺北市士林區士林區大東路75號,121.525590,25.090846,臺北市士林區公所士林公民會館,5,0,5,0,0,1,1
士林區,機關,士林區清潔隊,臺北市士林區中正路439號7樓,121.519572,25.092759,士林區清潔隊,1,0,1,0,0,0,0
士林區,機關,李科永紀念圖書館,臺北市士林區中正路15號,121.517365,25.091507,臺北市立圖書館 李科永紀念圖書館,9,0,9,0,0,3,0
士林區,機關,臺灣士林地方檢察署,臺北市士林區士東路190號,121.533080,25.112514,臺灣士林地方法院檢察署,18,18,0,0,0,4,0
士林區,連鎖餐飲店,摩斯漢堡福林店,臺北市士林區福林路189號1樓,121.532520,25.096938,安心食品服務股份有限公司福林分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,麥當勞士林店,臺北市士林區中山北路五段602號,121.528052,25.095924,台灣麥當勞餐廳股份有限公司台北士林分公司,1,0,1,0,0,1,0
士林區,連鎖餐飲店,麥當勞台北重慶店,臺北市士林區重慶北路四段123號,121.512179,25.082593,台灣麥當勞餐廳股份有限公司重慶北路分公司,1,1,0,0,0,0,0
士林區,連鎖餐飲店,拿坡里士林店,臺北市士林區文林路430號1樓,121.524861,25.095043,拿帕里股份有限公司士林分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,三商巧福士林店,臺北市士林區中正路331號1樓,121.523123,25.094830,三商行股份有限公司士林分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,統一星巴克士捷門市,臺北市士林區中正路239號1樓,121.525784,25.095607,統一星巴克股份有限公司士捷門市,1,0,1,0,0,0,0
士林區,連鎖餐飲店,摩斯漢堡忠誠店,臺北市士林區忠誠路一段188號1樓,121.530115,25.108188,安心食品服務股份有限公司忠誠店,1,0,1,0,0,0,0
